Archived__c,Created_At__c,Description__c,External_ID__c,Forks__c,GitHub_URL__C,License__C,Name,Open_Issues__c,Page_Views__C,Primary_Language__c,Pushed_At__c,Stargazers__C,Temp_Page_Views__C,Temp_Unique_Page_Views__c,Todays_Page_Views__c,Todays_Unique_Page_Views__c,Unique_Page_Views__c,Updated_At__c,Visibility__c,Watchers__c
FALSE,2020-01-01T00:00:00.000Z,,1,0,https://github.com/SalesforceLabs/PermissionGenerator,,PermissionGenerator,0,0,,2020-01-01T00:00:00.000Z,0,0,0,0,0,0,2020-01-01T00:00:00.000Z,Private,0
FALSE,2020-01-01T00:00:00.000Z,"The CPQ B2B Commerce Cloud Connector is an unmanaged package from Salesforce Labs and allows customers of both B2B Commerce and CPQ to configure or customize functionality that will sync products, pricing, quote requests and order history across both clouds.",2,1,https://github.com/SalesforceLabs/CPQB2BConnector,BSD-3-Clause,CPQB2BConnector,0,65,Apex,2020-01-01T00:00:00.000Z,1,0,0,0,0,22,2020-01-01T00:00:00.000Z,Public,1
FALSE,2020-01-01T00:00:00.000Z,"This application enables companies to respond to and manage a crisis (COVID-19) by understanding employee and location impact, keeping employees up to date, responding to employee needs, and reporting on impact to business continuity.",3,2,https://github.com/SalesforceLabs/CrisisResponse,NOASSERTION,CrisisResponse,0,6,Apex,2020-01-01T00:00:00.000Z,4,0,0,0,0,4,2020-01-01T00:00:00.000Z,Public,4
FALSE,2020-01-01T00:00:00.000Z,This components gets public financial and hiring intelligence about an account,4,0,https://github.com/SalesforceLabs/CustomerStrategicAI,,CustomerStrategicAI,0,0,,2020-01-01T00:00:00.000Z,0,0,0,0,0,0,2020-01-01T00:00:00.000Z,Private,0
FALSE,2014-01-01T00:00:00.000Z,,5,2,https://github.com/SalesforceLabs/CustomQuoteSync,,CustomQuoteSync,0,36,Apex,2014-01-01T00:00:00.000Z,3,0,0,0,0,15,2019-01-01T00:00:00.000Z,Public,3
FALSE,2019-01-01T00:00:00.000Z,Dashboard Pal Flow Template allows anyone with access to Dashboard sObject to display dashboards within flows or on any page within lightning experience using pre-defined flow.,6,0,https://github.com/SalesforceLabs/DashboardPalFlow,,DashboardPalFlow,0,0,,2019-01-01T00:00:00.000Z,0,0,0,0,0,0,2019-01-01T00:00:00.000Z,Private,0
FALSE,2011-01-01T00:00:00.000Z,,7,3,https://github.com/SalesforceLabs/Data-Quality-Analysis-Dashboards,,Data-Quality-Analysis-Dashboards,0,0,,2011-01-01T00:00:00.000Z,5,0,0,0,0,0,2019-01-01T00:00:00.000Z,Public,5
FALSE,2020-01-01T00:00:00.000Z,"Added drawing and annotations to your app, based on Fabric.js http://fabricjs.com/",8,1,https://github.com/SalesforceLabs/DrawAnnotations,BSD-3-Clause,DrawAnnotations,0,112,JavaScript,2020-01-01T00:00:00.000Z,1,0,0,0,0,26,2020-01-01T00:00:00.000Z,Public,1
FALSE,2013-01-01T00:00:00.000Z,Chatter app built for dreamforce 2012,9,4,https://github.com/SalesforceLabs/dreamforce-chatter-app,,dreamforce-chatter-app,0,20,Apex,2013-01-01T00:00:00.000Z,5,0,0,0,0,4,2020-01-01T00:00:00.000Z,Public,5
FALSE,2016-01-01T00:00:00.000Z,,10,27,https://github.com/SalesforceLabs/dreamhouse-mobile-react,,dreamhouse-mobile-react,2,17,JavaScript,2016-01-01T00:00:00.000Z,28,0,0,0,0,6,2019-01-01T00:00:00.000Z,Public,28
FALSE,2014-01-01T00:00:00.000Z,,11,4,https://github.com/SalesforceLabs/DupeEliminator,,DupeEliminator,2,38,Apex,2014-01-01T00:00:00.000Z,5,0,0,0,0,8,2019-01-01T00:00:00.000Z,Public,5
FALSE,2020-01-01T00:00:00.000Z,"This clock component can be shown on any record or app page, or even place it in the utility bar. It can detect location from standard and custom fields or use the system time along with a list of additional locations if desired.",12,1,https://github.com/SalesforceLabs/DynamicWorldClock,BSD-3-Clause,DynamicWorldClock,0,26,JavaScript,2020-01-01T00:00:00.000Z,0,0,0,0,0,20,2020-01-01T00:00:00.000Z,Public,0
FALSE,2019-01-01T00:00:00.000Z,Easy Event Registration,13,0,https://github.com/SalesforceLabs/Easy-Event-Registration,,Easy-Event-Registration,0,0,,2019-01-01T00:00:00.000Z,0,0,0,0,0,0,2019-01-01T00:00:00.000Z,Private,0
FALSE,2018-01-01T00:00:00.000Z,"Easy PDF creates an Invoice, Quote, and/or Packing Slip PDFs with the click of a button! This package also comes with an editable PDF template of the Opportunities object as a guide to start making your own PDFs by editing our HTML. Our Visualforce and Apex code is all editable so that you can apply the concept of generating a PDF template from the click of a button to any Salesforce object that you desire. This is the first unmanaged package on the AppExchange, and it’s cleverly designed to be flexible and extensible.",14,5,https://github.com/SalesforceLabs/Easy-PDF,BSD-3-Clause,Easy-PDF,0,81,Apex,2019-01-01T00:00:00.000Z,4,0,0,0,0,27,2020-01-01T00:00:00.000Z,Public,4
FALSE,2012-01-01T00:00:00.000Z,Email Response Console for Salesforce Service Cloud - or ERC – is a Salesforce Service Cloud Console application tailored for agents that are focused primarily on email.,15,8,https://github.com/SalesforceLabs/EmailResponseConsole,,EmailResponseConsole,0,20,Apex,2012-01-01T00:00:00.000Z,9,0,0,0,0,13,2019-01-01T00:00:00.000Z,Public,9
FALSE,2018-01-01T00:00:00.000Z,Employee Time Tracker keeps track of the amount of time your employees spend at work,16,0,https://github.com/SalesforceLabs/EmployeeTimeTracker,Apache-2.0,EmployeeTimeTracker,0,0,Apex,2018-01-01T00:00:00.000Z,0,0,0,0,0,0,2019-01-01T00:00:00.000Z,Private,0
FALSE,2020-01-01T00:00:00.000Z,Displays the approval history in an easy-to-understand manner,17,0,https://github.com/SalesforceLabs/EnhancedApprovalHistory,,EnhancedApprovalHistory,0,0,,2020-01-01T00:00:00.000Z,0,0,0,0,0,0,2020-01-01T00:00:00.000Z,Private,0
FALSE,2020-01-01T00:00:00.000Z,"Ever wanted to customize the Files related list? Now you can! Use the Enhanced Files List component on record, app, or home pages. Select up to 10 fields to display, including custom Content Version fields. Control list behavior without writing any code.",18,0,https://github.com/SalesforceLabs/EnhancedFilesList,BSD-2-Clause,EnhancedFilesList,0,189,JavaScript,2020-01-01T00:00:00.000Z,0,0,0,0,0,12,2020-01-01T00:00:00.000Z,Private,0
FALSE,2018-01-01T00:00:00.000Z,"Component that allows you to sort and filter data within the Lightning Experience. Use as a replacement for a Related List, or create a new grid that shows results from a custom query.",19,37,https://github.com/SalesforceLabs/EnhancedLightningGrid,BSD-3-Clause,EnhancedLightningGrid,39,1925,Apex,2020-01-01T00:00:00.000Z,65,0,0,7,1,409,2020-01-01T00:00:00.000Z,Public,65
FALSE,2011-01-01T00:00:00.000Z,,20,3,https://github.com/SalesforceLabs/Event-Management,,Event-Management,0,13,,2011-01-01T00:00:00.000Z,4,0,0,0,0,5,2019-01-01T00:00:00.000Z,Public,4
FALSE,2020-01-01T00:00:00.000Z,Excel Upload Lightning Web Component,21,4,https://github.com/SalesforceLabs/ExcelUpload,BSD-3-Clause,ExcelUpload,0,149,JavaScript,2020-01-01T00:00:00.000Z,2,0,0,0,0,52,2020-01-01T00:00:00.000Z,Public,2
FALSE,2020-01-01T00:00:00.000Z,,22,0,https://github.com/SalesforceLabs/ExpenseTracker,,ExpenseTracker,0,1,JavaScript,2020-01-01T00:00:00.000Z,0,0,0,0,0,1,2020-01-01T00:00:00.000Z,Private,0
FALSE,2019-01-01T00:00:00.000Z,,23,2,https://github.com/SalesforceLabs/featuredcontent,BSD-3-Clause,featuredcontent,1,76,JavaScript,2019-01-01T00:00:00.000Z,0,0,0,0,0,14,2019-01-01T00:00:00.000Z,Public,0
FALSE,2020-01-01T00:00:00.000Z,"With the Lightning File Explorer, you can create and then view a hierarchy of your files associated with a record. The files are nested within a familiar tree structure which we are all used to.",24,1,https://github.com/SalesforceLabs/FileExplorer,BSD-3-Clause,FileExplorer,0,83,Apex,2020-01-01T00:00:00.000Z,1,0,0,0,0,28,2020-01-01T00:00:00.000Z,Public,1
FALSE,2020-01-01T00:00:00.000Z,,25,0,https://github.com/SalesforceLabs/FileFocus,,FileFocus,0,5,,2020-01-01T00:00:00.000Z,1,0,0,1,1,4,2020-01-01T00:00:00.000Z,Private,1
FALSE,2011-01-01T00:00:00.000Z,,26,38,https://github.com/SalesforceLabs/FindNearby,,FindNearby,7,8,Apex,2012-01-01T00:00:00.000Z,34,0,0,0,0,7,2019-01-01T00:00:00.000Z,Public,34
FALSE,2020-01-01T00:00:00.000Z,"A lightning component that provides the ability to select email template and prepare a draft version of the email with merge field values. User can also compose the email on the go without selecting email template. Pre-populate the email composer with To,CC,Bcc,Subject.",27,6,https://github.com/SalesforceLabs/FlowEmailComposer,BSD-3-Clause,FlowEmailComposer,1,255,JavaScript,2020-01-01T00:00:00.000Z,11,0,0,0,0,68,2020-01-01T00:00:00.000Z,Public,11
FALSE,2019-01-01T00:00:00.000Z,Flow templates for using a subflow to send error handling emails to current user and admin.,28,3,https://github.com/SalesforceLabs/FlowErrorHandling,BSD-3-Clause,FlowErrorHandling,0,45,,2019-01-01T00:00:00.000Z,5,0,0,0,0,16,2020-01-01T00:00:00.000Z,Public,5
FALSE,2012-01-01T00:00:00.000Z,"ForcePad: Every Salesforce app, tab, and record, full CRUD, native iOS, slices these carrots, chops these tomatoes",29,43,https://github.com/SalesforceLabs/ForcePad,NOASSERTION,ForcePad,8,41,Objective-C,2013-01-01T00:00:00.000Z,100,0,0,1,1,25,2020-01-01T00:00:00.000Z,Public,100
FALSE,2011-01-01T00:00:00.000Z,,30,0,https://github.com/SalesforceLabs/forcetools,,forcetools,0,0,Java,2011-01-01T00:00:00.000Z,0,0,0,0,0,0,2019-01-01T00:00:00.000Z,Private,0
FALSE,2014-01-01T00:00:00.000Z,,31,1,https://github.com/SalesforceLabs/ForecastingMobileUI,,ForecastingMobileUI,2,1,Apex,2014-01-01T00:00:00.000Z,4,0,0,0,0,1,2019-01-01T00:00:00.000Z,Public,4
FALSE,2018-01-01T00:00:00.000Z,Wouldn't it be nice if there was a way to connect Lightning components with Einstein bots.  Mr. Robot is a framework that does that! Mr. Robot uses salesforce hottest technologies to provide a flexible implementation of Einstein bot that interacts with Lightning components by using Salesforce Platform Events.,32,0,https://github.com/SalesforceLabs/MrRobotFramework,BSD-3-Clause,MrRobotFramework,0,13,JavaScript,2018-01-01T00:00:00.000Z,2,0,0,0,0,4,2019-01-01T00:00:00.000Z,Public,2
FALSE,2020-01-01T00:00:00.000Z,"MuleSoft Accelerators for Salesforce Clouds is a joint MuleSoft and Salesforce solution that helps customers implement critical integration use cases for Service Cloud and B2C Commerce Cloud faster and easier than ever before. The solution includes pre-built APIs, connectors and integration templates that help you unlock critical customer and product data from external systems. The Lightning Web Component for Service Cloud allows service agents to see in real-time, order history and status information from an external order management system (OMS) within Service Cloud, without having to toggle to a separate application.",33,0,https://github.com/SalesforceLabs/MuleSoftAccelerator,,MuleSoftAccelerator,0,0,JavaScript,2020-01-01T00:00:00.000Z,0,0,0,0,0,0,2020-01-01T00:00:00.000Z,Private,0
